fd000004         0000000322f1b2
a074004e         0908e200052ff0280306
a0740049         0908e200052ff0280301
a0740048         0908e200052ff0280300
a074004b         0908e200052ff0280303
a074004a         0908e200052ff0280302
a0740055         0808e200042ff02a00
a0740054         0908e200052ff02a0301
a0740057         0908e200052ff0250302
a0740056         0908e200052ff0250301
a0740051         0908e200052ff0290301
a0740050         0908e200052ff0290300
a0740053         0908e200052ff02a0300
a0740052         0808e200042ff02900
a0740058         0808e200042ff02500
a0740005         10000002000209080322f17f0000000009083000010000000000
a0740004         10000002000209080414ffffff00000009083000010000000000
a0740007         10000002000209080322f1870000000009083000010000000000
a0740006         10000002000209080322f1890000000009083000010000000000
a0740001         1000000200020908021001000000000009083000010000000000
a0740003         1000000200020908031902af0000000009083000010000000000
a0740002         1000000200020908061904000a00ff0009083000010000000000
a074000d         10000002000209080322f1860000000009083000010000000000
a074000c         10000002000209080322f1800000000009083000010000000000
a074000f         10000002000209080322f18c0000000009083000010000000000
a074000e         10000002000209080322f18a0000000009083000010000000000
a0740009         10000002000209080322f1840000000009083000010000000000
a0740008         10000002000209080322f1810000000009083000010000000000
a074000b         10000002000209080322f10d0000000009083000010000000000
a074000a         10000002000209080322f1000000000009083000010000000000
a0740015         10000002000209080322f18e0000000009083000010000000000
a0740014         10000002000209080322f1900000000009083000010000000000
a0740017         1000000200020908032210000000000009083000010000000000
a0740016         1000000200020908032211000000000009083000010000000000
a0740011         10000002000209080322f1950000000009083000010000000000
a0740010         10000002000209080322f1920000000009083000010000000000
a0740013         10000002000209080322f1990000000009083000010000000000
a0740012         10000002000209080322f1970000000009083000010000000000
a074001d         1000000200020908032202000000000009083000010000000000
a074001c         1000000200020908032203010000000009083000010000000000
a074001f         1000000200020908032201100000000009083000010000000000
a074001e         1000000200020908032202010000000009083000010000000000
a0740019         1000000200020908032221000000000009083000010000000000
a0740018         1000000200020908032210010000000009083000010000000000
a074001b         1000000200020908032203000000000009083000010000000000
a074001a         1000000200020908032201000000000009083000010000000000
a0740025         1000000200020908032214010000000009083000010000000000
a0740024         1000000200020908032223000000000009083000010000000000
a0740027         1000000200020908032201400000000009083000010000000000
a0740026         1000000200020908032206000000000009083000010000000000
a0740021         1000000200020908032205010000000009083000010000000000
a0740020         1000000200020908032205000000000009083000010000000000
a0740023         1000000200020908032214000000000009083000010000000000
a0740022         1000000200020908032211010000000009083000010000000000
a074002d         1000000200020908032212000000000009083000010000000000
a074002c         1000000200020908032211150000000009083000010000000000
a074002f         1000000200020908032214050000000009083000010000000000
a074002e         1000000200020908032212050000000009083000010000000000
a0740029         1000000200020908032204120000000009083000010000000000
a0740028         1000000200020908032204110000000009083000010000000000
a074002b         1000000200020908032210050000000009083000010000000000
a074002a         1000000200020908032206030000000009083000010000000000
a0740035         10000002000209080322010f0000000009083000010000000000
a0740034         1000000200020908032214060000000009083000010000000000
a0740037         1000000200020908032211050000000009083000010000000000
a0740036         10000002000209080322120f0000000009083000010000000000
a0740031         1000000200020908032212010000000009083000010000000000
a0740030         1000000200020908032221100000000009083000010000000000
a0740033         10000002000209080322210e0000000009083000010000000000
a0740032         10000002000209080322210d0000000009083000010000000000
a074003d         0908e200052ff0230303
a074003c         0908e200052ff0230302
a074003f         0908e200052ff0260300
a074003e         0808e200042ff02300
a0740039         1000000200020908032211040000000009083000010000000000
a0740038         1000000200020908032211060000000009083000010000000000
a074003b         0908e200052ff0230301
a074003a         0908e200052ff0230300
a0760005         1000000200020908032203010000000009083000000000000000
a0760004         1000000200020908032203000000000009083000000000000000
a0760007         0908e520052ff0800302
a0760006         0908e520052ff0800301
a0760001         10000002000209080322f1b00000000009083000000000000000
a0760003         10000002000209080322f1b30000000009083000000000000000
a0760002         10000002000209080322f1b10000000009083000000000000000
a0760009         0808e520042ff08000
a0760008         0908e520052ff0800303
a0710045         0808fc00042f206600
a0710044         0908fc00052f20660300
a0710047         0808fc00042f206700
a0710046         0908fc00052f20670300
a0710041         0808fc00042f205400
a0710040         0908fc00052f20540300
a0710043         0808fc00042f206500
a0710042         0908fc00052f20650300
a071004d         0908fc00052f20350300
a071004c         0808fc00042f202c00
a071004f         0808fc00042f203500
a071004e         0908fc00052f203503ff
a0710049         0808fc00042f206800
a0710048         0908fc00052f20680300
a071004b         0908fc00052f202c03ff
a071004a         0908fc00052f202c0300
a0710055         0808fc00042f204200
a0710054         0908fc00052f204203ff
a0710057         0908fc00052f205003ff
a0710056         0908fc00052f20500300
a0710051         0908fc00052f203703ff
a0710050         0908fc00052f20370300
a0710053         0908fc00052f20420300
a0710052         0808fc00042f203700
a071005d         0908fc00052f206203ff
a071005c         0908fc00052f20620300
a071005f         0908fc00052f20290300
a071005e         0808fc00042f206200
a0710059         0908fc00052f20400300
a0710058         0808fc00042f205000
a071005b         0808fc00042f204000
a071005a         0908fc00052f204003ff
a0710061         0808fc00042f202900
a0710060         0908fc00052f202903ff
a0710005         1000000200020908032240020000000009083000000000000000
a0710004         1000000200020908032231010000000009083000000000000000
a0710007         1000000200020908032240170000000009083000000000000000
a0710006         1000000200020908032240130000000009083000000000000000
a0710001         1000000200020908032202060000000009083000000000000000
a0710003         1000000200020908032212020000000009083000000000000000
a0710002         1000000200020908032211040000000009083000000000000000
a071000d         1000000200020908032240230000000009083000000000000000
a071000c         1000000200020908032240220000000009083000000000000000
a071000f         1000000200020908032240250000000009083000000000000000
a071000e         1000000200020908032240240000000009083000000000000000
a0710009         1000000200020908032240190000000009083000000000000000
a0710008         1000000200020908032240180000000009083000000000000000
a071000b         1000000200020908032240210000000009083000000000000000
a071000a         1000000200020908032240200000000009083000000000000000
a0710015         0908fc00052f20120300
a0710014         0808fc00042f201000
a0710017         0808fc00042f201200
a0710016         0908fc00052f20120301
a0710011         1000000200020908032240270000000009083000000000000000
a0710010         1000000200020908032240260000000009083000000000000000
a0710013         0908fc00052f20100301
a0710012         0908fc00052f20100300
a071001d         0808fc00042f201400
a071001c         0908fc00052f20140301
a071001f         0908fc00052ff0880301
a071001e         0908fc00052ff0880300
a0710019         0908fc00052f20130301
a0710018         0908fc00052f20130300
a071001b         0908fc00052f20140300
a071001a         0808fc00042f201300
a0710025         0908fc00052f201b0380
a0710024         0908fc00052f201b0340
a0710027         0908fc00052f20310300
a0710026         0808fc00042f201b00
a0710021         0908fc00052f20150300
a0710020         0808fc00042ff08800
a0710023         0808fc00042f201500
a0710022         0908fc00052f201503ff
a071002d         0908fc00052f20320304
a071002c         0908fc00052f20320303
a071002f         0908fc00052f20380300
a071002e         0808fc00042f203200
a0710029         0808fc00042f203100
a0710028         0908fc00052f203103ff
a071002b         0908fc00052f20320302
a071002a         0908fc00052f20320301
a0710035         0808fc00042f201900
a0710034         0908fc00052f20190300
a0710037         0808fc00042f202300
a0710036         0908fc00052f20230300
a0710031         0808fc00042f203300
a0710030         0908fc00052f203803ff
a0710033         0808fc00042f201100
a0710032         0908fc00052f20110300
a071003d         0808fc00042f205200
a071003c         0908fc00052f20520300
a071003f         0808fc00042f205300
a071003e         0908fc00052f20530300
a0710039         0808fc00042f203900
a0710038         0908fc00052f20390300
a071003b         0808fc00042f203a00
a071003a         0908fc00052f203a0300
a0700045         1000000200020908032211060000000009083000000000000000
a0700044         1000000200020908032210040000000009083000000000000000
a0700047         1000000200020908032211070000000009083000000000000000
a0700046         1000000200020908032210050000000009083000000000000000
a0700041         1000000200020908032211030000000009083000000000000000
a0700040         1000000200020908032211020000000009083000000000000000
a0700043         1000000200020908032211050000000009083000000000000000
a0700042         1000000200020908032210030000000009083000000000000000
a070004d         1000000200020908032220080000000009083000000000000000
a070004c         1000000200020908032220070000000009083000000000000000
a070004f         1000000200020908032220090000000009083000000000000000
a070004e         1000000200020908032211080000000009083000000000000000
a0700049         1000000200020908032230010000000009083000000000000000
a0700048         1000000200020908032213000000000009083000000000000000
a070004b         1000000200020908032220060000000009083000000000000000
a070004a         1000000200020908032220050000000009083000000000000000
a0700055         1000000200020908032211090000000009083000000000000000
a0700054         10000002000209080322200c0000000009083000000000000000
a0700057         10000002000209080322200e0000000009083000000000000000
a0700056         10000002000209080322200d0000000009083000000000000000
a0700051         1000000200020908032210060000000009083000000000000000
a0700050         10000002000209080322200a0000000009083000000000000000
a0700053         10000002000209080322200b0000000009083000000000000000
a0700052         1000000200020908032210070000000009083000000000000000
a070005d         1000000200020908032220130000000009083000000000000000
a070005c         1000000200020908032220120000000009083000000000000000
a070005f         1000000200020908032220150000000009083000000000000000
a070005e         1000000200020908032220140000000009083000000000000000
a0700059         1000000200020908032213010000000009083000000000000000
a0700058         10000002000209080322200f0000000009083000000000000000
a070005b         1000000200020908032220110000000009083000000000000000
a070005a         1000000200020908032220100000000009083000000000000000
a0700065         1000000200020908032222000000000009083000000000000000
a0700064         10000002000209080322201a0000000009083000000000000000
a0700067         10000002000209080322210d0000000009083000000000000000
a0700066         1000000200020908032222010000000009083000000000000000
a0700061         1000000200020908032220170000000009083000000000000000
a0700060         1000000200020908032220160000000009083000000000000000
a0700063         1000000200020908032220190000000009083000000000000000
a0700062         1000000200020908032220180000000009083000000000000000
a070006d         1000000200020908032212030000000009083000000000000000
a070006c         1000000200020908032202020000000009083000000000000000
a070006f         10000002000209080322110a0000000009083000000000000000
a070006e         1000000200020908032212040000000009083000000000000000
a0700069         1000000200020908032201000000000009083000000000000000
a0700068         10000002000209080322210e0000000009083000000000000000
a070006b         1000000200020908032202010000000009083000000000000000
a070006a         1000000200020908032202000000000009083000000000000000
a0700075         1000000200020908032212070000000009083000000000000000
a0700074         1000000200020908032212060000000009083000000000000000
a0700077         10000002000209080322210f0000000009083000000000000000
a0700076         1000000200020908032214030000000009083000000000000000
a0700071         1000000200020908032212080000000009083000000000000000
a0700070         1000000200020908032212050000000009083000000000000000
a0700073         10000002000209080322110e0000000009083000000000000000
a0700072         1000000200020908032212090000000009083000000000000000
a070007d         10000002000209080322400f0000000009083000000000000000
a070007c         10000002000209080322400e0000000009083000000000000000
a070007f         10000002000209080322110c0000000009083000000000000000
a070007e         1000000200020908032240100000000009083000000000000000
a0700079         1000000200020908032221110000000009083000000000000000
a0700078         1000000200020908032221100000000009083000000000000000
a070007b         10000002000209080322400d0000000009083000000000000000
a070007a         1000000200020908032223000000000009083000000000000000
a0700005         1000000200020908031902af0000000009083000000000000000
a0700004         1000000200020908061904000a00ff0009083000000000000000
a0700007         10000002000209080322f1000000000009083000000000000000
a0700006         10000002000209080414ffffff00000009083000000000000000
a0700001         1000000200020908021003000000000009083000000000000000
a0700003         0102000000000908023e000000000000
a0700002         0102a0ff07d00908023e000000000000
a070000d         10000002000209080322f1800000000009083000000000000000
a070000c         10000002000209080322f17f0000000009083000000000000000
a070000f         10000002000209080322f1820000000009083000000000000000
a070000e         10000002000209080322f1810000000009083000000000000000
a0700009         10000002000209080322f1020000000009083000000000000000
a0700008         10000002000209080322f1010000000009083000000000000000
a070000b         10000002000209080322f10d0000000009083000000000000000
a070000a         10000002000209080322f0110000000009083000000000000000
a0700015         10000002000209080322f18a0000000009083000000000000000
a0700014         10000002000209080322f1890000000009083000000000000000
a0700017         10000002000209080322f18c0000000009083000000000000000
a0700016         10000002000209080322f18b0000000009083000000000000000
a0700011         10000002000209080322f1840000000009083000000000000000
a0700010         10000002000209080322f1830000000009083000000000000000
a0700013         10000002000209080322f1870000000009083000000000000000
a0700012         10000002000209080322f1860000000009083000000000000000
a070001d         10000002000209080322f1950000000009083000000000000000
a070001c         10000002000209080322f1940000000009083000000000000000
a070001f         10000002000209080322f1970000000009083000000000000000
a070001e         10000002000209080322f1960000000009083000000000000000
a0700019         10000002000209080322f1900000000009083000000000000000
a0700018         10000002000209080322f18e0000000009083000000000000000
a070001b         10000002000209080322f1930000000009083000000000000000
a070001a         10000002000209080322f1920000000009083000000000000000
a0700025         1000000200020908032221000000000009083000000000000000
a0700024         10000002000209080322f1f40000000009083000000000000000
a0700027         1000000200020908032220030000000009083000000000000000
a0700026         1000000200020908032220020000000009083000000000000000
a0700021         10000002000209080322f1990000000009083000000000000000
a0700020         10000002000209080322f1980000000009083000000000000000
a0700023         10000002000209080322f1b20000000009083000000000000000
a0700022         10000002000209080322f19d0000000009083000000000000000
a070002d         1000000200020908032221050000000009083000000000000000
a070002c         1000000200020908032221040000000009083000000000000000
a070002f         1000000200020908032221070000000009083000000000000000
a070002e         1000000200020908032221060000000009083000000000000000
a0700029         1000000200020908032221010000000009083000000000000000
a0700028         1000000200020908032231000000000009083000000000000000
a070002b         1000000200020908032221030000000009083000000000000000
a070002a         1000000200020908032221020000000009083000000000000000
a0700035         10000002000209080322210c0000000009083000000000000000
a0700034         1000000200020908032214000000000009083000000000000000
a0700037         1000000200020908032220000000000009083000000000000000
a0700036         1000000200020908032210000000000009083000000000000000
a0700031         1000000200020908032221090000000009083000000000000000
a0700030         1000000200020908032221080000000009083000000000000000
a0700033         10000002000209080322210b0000000009083000000000000000
a0700032         10000002000209080322210a0000000009083000000000000000
a070003d         1000000200020908032211000000000009083000000000000000
a070003c         1000000200020908032210010000000009083000000000000000
a070003f         1000000200020908032211010000000009083000000000000000
a070003e         1000000200020908032210020000000009083000000000000000
a0700039         1000000200020908032220040000000009083000000000000000
a0700038         1000000200020908032220010000000009083000000000000000
a070003b         1000000200020908032214020000000009083000000000000000
a070003a         1000000200020908032214010000000009083000000000000000
a07000c1         0808fc00042ff06700
a07000c0         0908fc00052ff06703ff
a0700085         1000000200020908032240070000000009083000000000000000
a0700084         1000000200020908032240050000000009083000000000000000
a0700087         1000000200020908032240090000000009083000000000000000
a0700086         1000000200020908032240080000000009083000000000000000
a0700081         10000002000209080322110f0000000009083000000000000000
a0700080         10000002000209080322110d0000000009083000000000000000
a0700083         1000000200020908032240030000000009083000000000000000
a0700082         1000000200020908032240010000000009083000000000000000
a070008d         1000000200020908032213020000000009083000000000000000
a070008c         1000000200020908032240120000000009083000000000000000
a070008f         1000000200020908032210090000000009083000000000000000
a070008e         1000000200020908032210080000000009083000000000000000
a0700089         10000002000209080322400b0000000009083000000000000000
a0700088         10000002000209080322400a0000000009083000000000000000
a070008b         1000000200020908032240110000000009083000000000000000
a070008a         10000002000209080322400c0000000009083000000000000000
a0700095         1000000200020908032221fd0000000009083000000000000000
a0700094         1000000200020908032221ff0000000009083000000000000000
a0700097         1000000200020908032221fb0000000009083000000000000000
a0700096         1000000200020908032221fc0000000009083000000000000000
a0700091         1000000200020908032240140000000009083000000000000000
a0700090         1000000200020908032201100000000009083000000000000000
a0700093         1000000200020908032240160000000009083000000000000000
a0700092         1000000200020908032240150000000009083000000000000000
a070009d         1000000200020908032221f50000000009083000000000000000
a070009c         1000000200020908032221f60000000009083000000000000000
a070009f         1000000200020908032221f30000000009083000000000000000
a070009e         1000000200020908032221f40000000009083000000000000000
a0700099         1000000200020908032221f90000000009083000000000000000
a0700098         1000000200020908032221fa0000000009083000000000000000
a070009b         1000000200020908032221f70000000009083000000000000000
a070009a         1000000200020908032221f80000000009083000000000000000
a07000a5         1000000200020908032221ed0000000009083000000000000000
a07000a4         1000000200020908032221ee0000000009083000000000000000
a07000a7         1000000200020908032221e70000000009083000000000000000
a07000a6         1000000200020908032221e80000000009083000000000000000
a07000a1         1000000200020908032221f10000000009083000000000000000
a07000a0         1000000200020908032221f20000000009083000000000000000
a07000a3         1000000200020908032221ef0000000009083000000000000000
a07000a2         1000000200020908032221f00000000009083000000000000000
a07000ad         0908fc00052ff0820300
a07000ac         0808fc00042ff08100
a07000af         0808fc00042ff08200
a07000ae         0908fc00052ff08203ff
a07000a9         1000000200020908032221e50000000009083000000000000000
a07000a8         1000000200020908032221e60000000009083000000000000000
a07000ab         0908fc00052ff0810300
a07000aa         1000000200020908032221e40000000009083000000000000000
a07000b5         0808fc00042ff08400
a07000b4         0908fc00052ff08403ff
a07000b7         0908fc00052ff08503ff
a07000b6         0908fc00052ff0850300
a07000b1         0908fc00052ff08303ff
a07000b0         0908fc00052ff0830300
a07000b3         0908fc00052ff0840300
a07000b2         0808fc00042ff08300
a07000bd         0908fc00052ff0870300
a07000bc         0908fc00052ff08603ff
a07000bf         0908fc00052ff0670300
a07000be         0808fc00042ff08700
a07000b9         0908fc00052ff0620300
a07000b8         0808fc00042ff08500
a07000bb         0908fc00052ff0860300
a07000ba         0808fc00042ff06200
a0720041         0808fc20042ff08700
a0720040         0908fc20052ff0870300
a0720005         10000002000209080322050c0000000009083000000000000000
a0720004         1000000200020908032201400000000009083000000000000000
a0720007         10000002000209080322111c0000000009083000000000000000
a0720006         10000002000209080322050b0000000009083000000000000000
a0720001         10000002000209080322f1f30000000009083000000000000000
a0720003         10000002000209080322fe010000000009083000000000000000
a0720002         10000002000209080322fe000000000009083000000000000000
a072000d         1000000200020908032214130000000009083000000000000000
a072000c         1000000200020908032214050000000009083000000000000000
a072000f         1000000200020908032205040000000009083000000000000000
a072000e         1000000200020908032205080000000009083000000000000000
a0720009         10000002000209080322111a0000000009083000000000000000
a0720008         10000002000209080322111b0000000009083000000000000000
a072000b         1000000200020908032212000000000009083000000000000000
a072000a         1000000200020908032211190000000009083000000000000000
a0720015         1000000200020908032205000000000009083000000000000000
a0720014         1000000200020908032205050000000009083000000000000000
a0720017         1000000200020908032214120000000009083000000000000000
a0720016         1000000200020908032223030000000009083000000000000000
a0720011         1000000200020908032205020000000009083000000000000000
a0720010         1000000200020908032205030000000009083000000000000000
a0720013         1000000200020908032205060000000009083000000000000000
a0720012         1000000200020908032205010000000009083000000000000000
a072001d         1000000200020908032205070000000009083000000000000000
a072001c         1000000200020908032211140000000009083000000000000000
a072001f         1000000200020908032223010000000009083000000000000000
a072001e         1000000200020908032211150000000009083000000000000000
a0720019         1000000200020908032223040000000009083000000000000000
a0720018         1000000200020908032223050000000009083000000000000000
a072001b         1000000200020908032222030000000009083000000000000000
a072001a         10000002000209080322050a0000000009083000000000000000
a0720025         1000000200020908032223060000000009083000000000000000
a0720024         1000000200020908032223070000000009083000000000000000
a0720027         1000000200020908032214090000000009083000000000000000
a0720026         1000000200020908032214140000000009083000000000000000
a0720021         1000000200020908032211160000000009083000000000000000
a0720020         1000000200020908032205090000000009083000000000000000
a0720023         1000000200020908032214150000000009083000000000000000
a0720022         1000000200020908032212010000000009083000000000000000
a072002d         1000000200020908032211100000000009083000000000000000
a072002c         1000000200020908032211110000000009083000000000000000
a072002f         0908fc20052ff0800300
a072002e         1000000200020908032212100000000009083000000000000000
a0720029         1000000200020908032211170000000009083000000000000000
a0720028         1000000200020908032211180000000009083000000000000000
a072002b         1000000200020908032211120000000009083000000000000000
a072002a         1000000200020908032211130000000009083000000000000000
a0720035         0808fc20042ff08100
a0720034         0908fc20052ff0810301
a0720037         0808fc20042ff08200
a0720036         0908fc20052ff0820300
a0720031         0808fc20042ff08000
a0720030         0908fc20052ff0800301
a0720033         0908fc20052ff0810300
a0720032         0908fc20052ff0800302
a072003d         0808fc20042ff08500
a072003c         0908fc20052ff0850300
a072003f         0808fc20042ff08600
a072003e         0908fc20052ff0860300
a0720039         0808fc20042ff08300
a0720038         0908fc20052ff0830300
a072003b         0808fc20042ff08400
a072003a         0908fc20052ff0840300
a07c0005         0908e480052ff0810380
a07c0004         0908e480052ff0810308
a07c0007         0908e480052ff0820308
a07c0006         0808e480042ff08100
a07c0001         0908e480052ff0800308
a07c0003         0808e480042ff08000
a07c0002         0908e480052ff0800380
a07c0009         0808e480042ff08200
a07c0008         0908e480052ff0820380
a07f0001         1000000200020908032206000000000009083000000000000000
a0790005         1000000200020908032201050000000009083000000000000000
a0790004         1000000200020908032201040000000009083000000000000000
a0790006         1000000200020908032201060000000009083000000000000000
a0790001         1000000200020908032201010000000009083000000000000000
a0790003         1000000200020908032201030000000009083000000000000000
a0790002         1000000200020908032201020000000009083000000000000000
a0780005         0908e1a0052ff0800304
