警告：动作测试功能未编写 tip1 -- ad03   ##点击动作测试发激活
警告：动作测试功能未编写 tip2 -- ad03   ##点击动作测试是否发加密
警告：动作测试功能未编写 tip7 -- a32a <name> 无极风扇控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 无极风扇控制 
警告：动作测试功能未编写 tip7 -- a32a <name> 增压压力限制阀控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 增压压力限制阀控制 
警告：动作测试功能未编写 tip7 -- a32a <name> 节气门开度控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 节气门开度控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 清除修正值 
警告：动作测试功能未编写 tip8 -- a32a <name> 风扇类型设定控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 车型学习控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 齿讯学习控制 
警告：动作测试功能未编写 tip1 -- a401
警告：动作测试功能未编写 tip2 -- a401
警告：动作测试功能未编写 tip4 -- a401 <name> 档位测试 
警告：动作测试功能未编写 tip8 -- a401 <name> 档位测试 
警告：动作测试功能未编写 tip4 -- a401 <name> 离合器1测试 
警告：动作测试功能未编写 tip8 -- a401 <name> 离合器1测试 
警告：动作测试功能未编写 tip4 -- a401 <name> 离合器2测试 
警告：动作测试功能未编写 tip8 -- a401 <name> 离合器2测试 
警告：动作测试功能未编写 tip1 -- a701
警告：动作测试功能未编写 tip2 -- a701
警告：动作测试功能未编写 tip8 -- a701 <name> 停止驱动器 
警告：动作测试功能未编写 tip8 -- a701 <name> 装配位置 
警告：动作测试功能未编写 tip8 -- a701 <name> 力标定 
警告：动作测试功能未编写 tip8 -- a701 <name> 拉起(刹车分泵回缩,准备换刹车片) 
警告：动作测试功能未编写 tip8 -- a701 <name> 释放(刹车分泵释放,更换刹车片后执行的功能) 
警告：动作测试功能未编写 tip8 -- a701 <name> EPB(电子驻车)初始化 
警告：动作测试功能未编写 tip8 -- 1b01 <name> BMS(电池管理系统)工作模式切换 
警告：动作测试功能未编写 tip10<tmp20 看看有啥用> -- 1b01 <name> BMS(电池管理系统)工作模式切换 
警告：动作测试功能未编写 tip10<tmp20 看看有啥用> -- 1b01 <name> BMS(电池管理系统)工作模式切换 
警告：动作测试功能未编写 tip8 -- 1b04 <name> 启动铁电池智能充电功能 
警告：动作测试功能未编写 tip8 -- 1b04 <name> 启动铁电池整车超低功耗功能(整车会掉电谨慎操作) 
警告：动作测试功能未编写 tip8 -- 1b04 <name> 启动铁电池故障报警 
警告：动作测试功能未编写 tip8 -- 1b07 <name> 元件动作测试1(刹车片更换选择此菜单) 
警告：动作测试功能未编写 tip9 -- 1b07 <name> 元件动作测试1(刹车片更换选择此菜单) 
警告：动作测试功能未编写 tip8 -- 1b07 <name> 元件动作测试2 
警告：动作测试功能未编写 tip9 -- 1b07 <name> 元件动作测试2 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 发动机故障(MIL)指示灯控制 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 碳罐控制阀控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 碳罐控制阀控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 燃油泵控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 车辆立即维修(SVS)指示灯控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 禁用燃油喷射控制 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 怠速转速控制-短期调整 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 怠速转速控制-短期调整 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 怠速转速控制-长期调整 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 怠速转速控制-长期调整 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 制动真空泵控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 冷却液循环泵控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 涡轮增压旁通阀控制 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 无极风扇控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 无极风扇控制 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 增压压力限制阀控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 增压压力限制阀控制 
警告：动作测试功能未编写 tip7 -- 1b0c <name> 节气门开度控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 节气门开度控制 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 清除修正值 
警告：动作测试功能未编写 tip8 -- 1b0c <name> 齿讯学习控制 
警告：动作测试功能未编写 tip8 -- 1b0e <name> 档位动作测试 
警告：动作测试功能未编写 tip4 -- 1b0e <name> 离合器1间隙测试 
警告：动作测试功能未编写 tip8 -- 1b0e <name> 离合器1间隙测试 
警告：动作测试功能未编写 tip8 -- 1b0e <name> 离合器1间隙测试 
警告：动作测试功能未编写 tip4 -- 1b0e <name> 离合器2间隙测试 
警告：动作测试功能未编写 tip8 -- 1b0e <name> 离合器2间隙测试 
警告：动作测试功能未编写 tip8 -- 1b0e <name> 离合器2间隙测试 
警告：动作测试功能未编写 tip1 -- 1b10
警告：动作测试功能未编写 tip2 -- 1b10
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位1控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位2控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位3控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位SET控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位SET1控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位SET2控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅档位SET3控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅通风高速档位控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅通风中速档位控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅通风低速档位控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅加热高速档位控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅加热中速档位控制 
警告：动作测试功能未编写 tip8 -- 1b10 <name> 座椅加热低速档位控制 
警告：动作测试功能未编写 tip1 -- 1b12
警告：动作测试功能未编写 tip2 -- 1b12
警告：动作测试功能未编写 tip7 -- 1b12 <name> 主驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 主驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 副驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 副驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 出风模式电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 出风模式电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 新风循环电机旋转控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 鼓风机电机电压控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 鼓风机电机电压控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 空调请求信号控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 主驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 主驾驶冷暖电机旋转控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 出风模式控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 风速档位控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 风速档位控制 
警告：动作测试功能未编写 tip7 -- 1b12 <name> 电动压缩机控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 电动压缩机控制 
警告：动作测试功能未编写 tip8 -- 1b12 <name> 机械压缩机控制 
警告：动作测试功能未编写 tip1 -- 1b14
警告：动作测试功能未编写 tip2 -- 1b14
警告：动作测试功能未编写 tip8 -- 1b14 <name> 引擎音模拟器发声功能 
警告：动作测试功能未编写 tip1 -- 1b15
警告：动作测试功能未编写 tip2 -- 1b15
警告：动作测试功能未编写 tip8 -- 1b15 <name> 座椅通风高速档位控制 
警告：动作测试功能未编写 tip8 -- 1b15 <name> 座椅通风低速档位控制 
警告：动作测试功能未编写 tip8 -- 1b15 <name> 座椅加热高速档位控制 
警告：动作测试功能未编写 tip8 -- 1b15 <name> 座椅加热低速档位控制 
警告：动作测试功能未编写 tip1 -- 1b18
警告：动作测试功能未编写 tip2 -- 1b18
警告：动作测试功能未编写 tip8 -- 1b18 <name> 外后视镜加热测试 
警告：动作测试功能未编写 tip8 -- 1b18 <name> 外后视镜折叠展开测试 
警告：动作测试功能未编写 tip8 -- 1b18 <name> 外后视镜左右调整测试 
警告：动作测试功能未编写 tip8 -- 1b18 <name> 外后视镜上下调整测试 
警告：动作测试功能未编写 tip8 -- 1b18 <name> 外后视镜照脚灯测试 
警告：动作测试功能未编写 tip1 -- 1b19
警告：动作测试功能未编写 tip2 -- 1b19
警告：动作测试功能未编写 tip8 -- 1b19 <name> 外后视镜加热测试 
警告：动作测试功能未编写 tip8 -- 1b19 <name> 外后视镜折叠展开测试 
警告：动作测试功能未编写 tip8 -- 1b19 <name> 外后视镜左右调整测试 
警告：动作测试功能未编写 tip8 -- 1b19 <name> 外后视镜上下调整测试 
警告：动作测试功能未编写 tip8 -- 1b19 <name> 外后视镜照脚灯测试 
警告：动作测试功能未编写 tip1 -- 1b1a
警告：动作测试功能未编写 tip2 -- 1b1a
警告：动作测试功能未编写 tip8 -- 1b1a <name> 左前车窗电机动作测试 
警告：动作测试功能未编写 tip1 -- 1b22
警告：动作测试功能未编写 tip2 -- 1b22
警告：动作测试功能未编写 tip8 -- 1b22 <name> 转向轴管柱上下角度调节测试 
警告：动作测试功能未编写 tip8 -- 1b22 <name> 转向轴管柱伸出缩回调节测试 
警告：动作测试功能未编写 tip1 -- 1b23
警告：动作测试功能未编写 tip2 -- 1b23
警告：动作测试功能未编写 tip8 -- 1b23 <name> 前雨刮电机测试(预留) 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 前雨刮速度变化测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 前洗涤电机测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 后除霜测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 远光灯测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 近光灯测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 前雾灯测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 小灯测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 昼行灯测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 喇叭测试 
警告：动作测试功能未编写 tip8 -- 1b23 <name> 报警测试 
警告：动作测试功能未编写 tip1 -- 1b24
警告：动作测试功能未编写 tip2 -- 1b24
警告：动作测试功能未编写 tip8 -- 1b24 <name> 静音开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 音量增开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 音量减开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 搜索+开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 搜索-开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 模式开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 温度增开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 温度减开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 空调自动模式开关测试 
警告：动作测试功能未编写 tip8 -- 1b24 <name> 空调关闭开关测试 
警告：动作测试功能未编写 tip1 -- 1b25
警告：动作测试功能未编写 tip2 -- 1b25
警告：动作测试功能未编写 tip8 -- 1b25 <name> 座椅水平调节操作测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 座椅高度调节操作测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 座椅座盆调角操作测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 座椅靠背倾斜操作测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 蜂鸣器操作测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 主驾座椅加热低温档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 主驾座椅加热高温档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 主驾座椅通风低速档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 主驾座椅通风高速档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 副驾座椅加热低温档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 副驾座椅加热高温档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 副驾座椅通风低速档测试 
警告：动作测试功能未编写 tip8 -- 1b25 <name> 副驾座椅通风高速档测试 
警告：动作测试功能未编写 tip1 -- 1b27
警告：动作测试功能未编写 tip2 -- 1b27
警告：动作测试功能未编写 tip8 -- 1b27 <name> 音量增开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 音量减开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 上一频道开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 下一频道开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 模式开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 蓝牙开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 仪表确定开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 上翻页开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 下翻页开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 返回开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 前景影像开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 后景影像开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 左景影像开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 右景影像开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 全景影像开关测试 
警告：动作测试功能未编写 tip8 -- 1b27 <name> 多媒体返回开关测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 左前门开锁测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 乘客门开锁测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 四门闭锁测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 背门开锁测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 后视镜折叠测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 后视镜展开测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 左前门灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 左后门灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 右前门灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 右后门灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 左转向灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 右转向灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 后雾灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 倒车指示灯控制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 绿色指示灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 室内灯(开关置于DOOR状态)测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 外后视镜照脚灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> IG1继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> IG2继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 转向轴锁继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> ACC继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 预配电测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 防盗指示灯B10口测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 门锁状态指示灯B9口测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 行李箱照明灯A5口测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 紧急制动灯B2口测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 充电照明口A11口测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 充电继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 杂物箱照明灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 大灯洗涤继电器测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 昼行灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 副安全带扣灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 主安全带扣灯测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 外后视镜照脚灯(非PWM(脉宽调制))测试 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 超速闭锁定制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 迎宾灯点亮时间定制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 解锁驾驶门方式定制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 室内灯点亮时间定制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 自动上锁时间定制 
警告：动作测试功能未编写 tip8 -- 1b2a <name> 所有定制信息恢复默认值 
警告：动作测试功能未编写 tip8 -- 1c02 <name> BMS(电池管理系统)工作模式切换 
