9bd01201         U101201 CAN通讯异常 
9f118c28         P118C28 C相电流传感器零漂故障 
9f118c11         P118C11 C相电流传感器短路接地 
9f118c12         P118C12 C相电流传感器短路接电源 
9f118210         P118210 W相IGBT温度传感器短路 
9f118213         P118213 W相IGBT温度传感器开路 
9f118010         P118010 U相IGBT温度传感器短路 
9f118013         P118013 U相IGBT温度传感器开路 
9f118110         P118110 V相IGBT温度传感器短路 
9f118113         P118113 V相IGBT温度传感器开路 
9f118610         P118610 电机温度传感器短路 
9f118613         P118613 电机温度传感器开路 
9f119067         P119067 旋变解码故障 
9f119164         P119164 旋变数据错误故障 
9f11a01c         P11A01C 电源模块故障 
9ef00316         U300316 低压供电欠压 
9ef00317         U300317 低压供电过压 
9ef0031c         U30031C 低压供电异常 
9ec31264         U031264 与BCU软件版本不兼容 
9ec31164         U031164 与MCU软件版本不兼容 
9ec25387         U025387 BMS与车载充电机通讯故障 
9ec25482         U025482 电池系统内部通讯故障 
9ec25582         U025582 高压板VMS节点通讯丢失 
9ec11087         U011087 与MCU通讯丢失 
9ec07388         U007388 总线关闭 
9e40217a         C00217A 制动助力系统泄漏预警 
9e402100         C002100 制动助力系统故障 
9e229964         P229964 制动踏板和油门踏板信号冲突 
9e0a0a94         P0A0A94 高低压互锁故障 
9e0a7e22         P0A7E22 电池温度过高（一级） 
9e0a9409         P0A9409 DCDC故障 
9e0a9513         P0A9513 MSD/主保险断路 
9e0aa272         P0AA272 正极继电器断路 
9e0aa073         P0AA073 正极继电器粘连 
9e0aa61a         P0AA61A 绝缘电阻低（一级） 
9e0aa473         P0AA473 负极继电器粘连 
9e0aa572         P0AA572 负极继电器断路 
9e0ae273         P0AE273 预充继电器粘连 
9e0ae372         P0AE372 预充继电器断路 
9e078001         P078001 档位故障 
9e060d64         P060D64 加速踏板信号校验错误 
9e060d1c         P060D1C 加速踏板信号超幅错误 
9e060444         P060444 RAM故障 
9e060545         P060545 ROM故障 
9e062f46         P062F46 EEPROM(电可擦除只读存储器) 故障 
9e063509         P063509 EPS故障 
9e120229         P12x229 X号子板单体电压采集电路故障 
9e120329         P12x329 X号子板模组电压采集电路故障 
9e120144         P12x144 X号子板EEPROM(电可擦除只读存储器)读写故障 
9e120674         P12x674 X号子板被动均衡通道故障 
9e120782         P12x782 X号子板VMS节点通讯丢失 
9e120429         P12x429 X号子板温度采集电路故障 
9e120574         P12x574 X号子板主动均衡通道故障 
9e118a64         P118A64 外部总电压检测故障 
9e118822         P118822 电池单体过压（一级） 
9e118964         P118964 内部总电压检测故障 
9e118e21         P118E21 电池单体欠压 
9e118f22         P118F22 电池单体过压（二级） 
9e118219         P118219 电池放电过流 
9e118312         P118312 电池内部短路 
9e118111         P118111 电池外部短路 
9e118674         P118674 充电电流异常 
9e118722         P118722 温度不均衡 
9e118427         P118427 电池温升过快 
9e118522         P118522 电池单体电压不均衡 
9e119222         P119222 电池温度过高（二级） 
9e119321         P119321 电池温度过低 
9e119022         P119022 总电压过压 
9e119121         P119121 总电压欠压 
9e119796         P119796 加热元件故障 
9e11941a         P11941A 绝缘电阻低（二级） 
9e119519         P119519 制动能量回馈过流 
9e11d829         P11D829 总电流检测电路故障 
9e11d974         P11D974 负端继电器驱动通道故障 
9e11d213         P11D213 预充电阻断路 
9e11d329         P11D329 内部总电压检测电路故障 
9e11d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
9e11d674         P11D674 预充电继电器驱动通道故障 
9e11d729         P11D729 绝缘检测电路故障 
9e11d429         P11D429 外部总电压检测电路故障 
9e11d574         P11D574 正端继电器驱动通道故障 
9e100a11         P100A11 低速风扇继电器驱动通道对地短路 
9e100a12         P100A12 低速风扇继电器驱动通道对电源短路 
9e100a13         P100A13 低速风扇继电器驱动通道开路 
9e100b11         P100B11 真空泵控制信号驱动通道对地短路 
9e100b12         P100B12 真空泵控制信号驱动通道对电源短路 
9e100b13         P100B13 真空泵控制信号驱动通道开路 
9e100811         P100811 快充负极继电器驱动通道对地短路 
9e100812         P100812 快充负极继电器驱动通道对电源短路 
9e100813         P100813 快充负极继电器驱动通道开路 
9e100911         P100911 PTC控制继电器驱动通道对地短路 
9e100912         P100912 PTC控制继电器驱动通道对电源短路 
9e100913         P100913 PTC控制继电器驱动通道开路 
9e100211         P100211 BCU唤醒信号驱动通道对地短路 
9e100212         P100212 BCU唤醒信号驱动通道对电源短路 
9e100213         P100213 BCU唤醒信号驱动通道开路 
9e100311         P100311 仪表充电灯信号驱动通道对地短路 
9e100312         P100312 仪表充电灯信号驱动通道对电源短路 
9e100313         P100313 仪表充电灯信号驱动通道开路 
9e100011         P100011 DC/DC使能驱动通道对地短路 
9e100012         P100012 DC/DC使能驱动通道对电源短路 
9e100013         P100013 DC/DC使能驱动通道开路 
9e100111         P100111 MCU唤醒信号驱动通道对地短路 
9e100112         P100112 MCU唤醒信号驱动通道对电源短路 
9e100113         P100113 MCU唤醒信号驱动通道开路 
9e100611         P100611 总负继电器驱动通道对地短路 
9e100612         P100612 总负继电器驱动通道对电源短路 
9e100613         P100613 总负继电器驱动通道开路 
9e100711         P100711 快充正极继电器驱动通道对地短路 
9e100712         P100712 快充正极继电器驱动通道对电源短路 
9e100713         P100713 快充正极继电器驱动通道开路 
9e100411         P100411 EPS车速信号驱动通道对地短路 
9e100412         P100412 EPS车速信号驱动通道对电源短路 
9e100413         P100413 EPS车速信号驱动通道开路 
9e100511         P100511 倒车灯继电器驱动通道对地短路 
9e100512         P100512 倒车灯继电器驱动通道对电源短路 
9e100513         P100513 倒车灯继电器驱动通道开路 
9e103a82         P103A82 MCU生命信号异常 
9e103804         P103804 BCU自检异常 
9e103904         P103904 MCU自检异常 
9e103364         P103364 BCU自检超时 
9e103064         P103064 高压系统电压校验错误 
9e103164         P103164 电机扭矩响应异常 
9e103609         P103609 驱动电机转速异常 
9e103798         P103798 驱动系统过热 
9e103464         P103464 MCU高压自检超时 
9e103564         P103564 高压放电超时 
9dd2b008         U12B008 通讯故障 
9d1a8a96         P1A8A96 内部中间电压欠压<10V 
9d1a8896         P1A8896 内部 PFC 过压 
9d1a8996         P1A8996 内部 PFC 欠压 
9d1a8c90         P1A8C90 单片机检测失败 
9d1a8294         P1A8294 输入欠压 
9d1a8394         P1A8394 输入过压 
9d1a8098         P1A8098 过温二级故障 
9d1a8198         P1A8198 过温三级故障 
9d1a8694         P1A8694 输出欠流 
9d1a8794         P1A8794 输出过流 
9d1a8494         P1A8494 输出过压 
9d1a8594         P1A8594 输出短路/欠压 
9d148216         P148216 输出欠压故障 
9d148116         P148116 输入欠压故障 
9d148117         P148117 输入过压故障 
9cc25387         U025387 BMS与车载充电机通讯故障 
9cc25482         U025482 电池系统内部通讯故障 
9cc25582         U025582 (高压板)VBU/VCU节点通讯丢失 
9c0a0a94         P0A0A94 高低压互锁故障 
9c0a7e22         P0A7E22 电池温度过高 
9c0a9513         P0A9513 MSD/主保险断路 
9c0aa272         P0AA272 正极继电器断路 
9c0aa073         P0AA073 正极继电器粘连 
9c0aa61a         P0AA61A 绝缘电阻低 
9c0aa473         P0AA473 负极继电器粘连 
9c0aa572         P0AA572 负极继电器断路 
9c0ae273         P0AE273 预充继电器粘连 
9c0ae372         P0AE372 预充继电器断路 
9c121229         P121229 子板单体电压采集电路故障 
9c121329         P121329 子板模组电压采集电路故障 
9c121144         P121144 子板EEPROM(电可擦除只读存储器)读写故障 
9c121674         P121674 子板被动均衡通道故障 
9c121782         P121782 子板VBU/BMS节点通讯丢失 
9c121429         P121429 子板温度采集电路故障 
9c121574         P121574 子板主动均衡通道故障 
9c118a64         P118A64 外部总电压检测故障（V2） 
9c118822         P118822 电池单体过压 
9c118964         P118964 内部总电压检测故障（V1） 
9c118312         P118312 电池内部短路 
9c118111         P118111 电池外部短路 
9c118674         P118674 充电电流异常 
9c118722         P118722 温度不均衡 
9c118427         P118427 电池温升过快 
9c118522         P118522 电池单体电压不均衡 
9c119844         P119844 BMS-EEPROM(电可擦除只读存储器)读写故障 
9c119796         P119796 加热元件故障 
9c11d829         P11D829 总电流检测电路故障 
9c11d213         P11D213 预充电阻断路 
9c11d329         P11D329 内部总电压检测电路故障(V1) 
9c11d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
9c11d674         P11D674 预充电继电器驱动通道故障 
9c11d729         P11D729 绝缘检测电路故障 
9c11d429         P11D429 外部总电压检测电路故障（V2) 
9c11d574         P11D574 正端继电器驱动通道故障 
93c10087         U010087 与VCU通讯故障 
93144a00         P144A00 EPS失效安全继电器故障 
93144b1c         P144B1C EPS助力电机电压异常故障 
93144800         P144800 EPS扭矩传感器电源故障 
93144219         P144219 EPS助力电机过流故障 
9314421d         P14421D EPS助力电机电流异常故障 
93144064         P144064 EPS扭矩传感器主辅路信号校验故障 
93144101         P144101 EPS扭矩传感器信号超幅故障 
93144602         P144602 EPS车速信号故障 
93144700         P144700 EPS控制器电源故障 
93144400         P144400 EPS控制器硬件故障 
92f00316         U300316 供电电压过低故障 
92f00317         U300317 供电电压过高故障 
92c25a87         U025A87 所有节点丢失故障 
92c07388         U007388 T-Box检测道EVBUS上BUSOFF故障 
92162201         P162201 4G模块故障 
92162301         P162301 SIM卡故障 
92162001         P162001 GPS故障 
92162101         P162101 SD卡故障 
92162401         P162401 WiFi模块故障 
91944219         B144219 EAS过流 
91944119         B144119 母线过压 
91944619         B144619 EAS堵转故障 
91944419         B144419 EAS内部功率管故障 
91944519         B144519 母线欠压 
90944015         B144015 管路压力过高故障 
90944115         B144115 管路压力过低故障 
97f00316         U300316 电池电压过低 
97f00317         U300317 电池电压高 
97c10087         U010087 和VCU通讯丢失 
97c12187         U012187 和ABS通讯丢失 
97c14087         U014087 和BCM通讯丢失 
97c07388         U007388 总线关闭 
97060545         P060545 Flash 校验出错 
97062f46         P062F46 EEPROM(电可擦除只读存储器) 故障 
97150264         P150264 倒车雷达通讯丢失 
97150064         P150064 BCM里程比仪表里程大 
97150164         P150164 调光信号失效 
96f00316         U300316 MCU低压电源欠压故障 
96f00317         U300317 MCU低压电源过压故障 
96c40186         U040186 转矩命令超限故障 
96c10087         U010087 与VCU通讯丢失故障 
960a0a94         P0A0A94 电机系统高压暴露故障 
960a001c         P0A001C 电机温度检测回路故障 
960a2f98         P0A2F98 电机过温故障 
960a3f00         P0A3F00 MCU位置信号检测回路故障 
960a4400         P0A4400 电机超速故障 
960a5101         P0A5101 MCU直流母线电流采样回路故障 
96060444         P060444 MCU RAM故障 
96060545         P060545 MCU ROM故障 
96062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
96112164         P112164 电机三相电流校验故障 
96113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
96113519         P113519 MCU相电流过流故障 
96114016         P114016 MCU直流母线欠压故障 
96114017         P114017 MCU直流母线过压故障 
96116216         P116216 MCU IGBT驱动电路过流故障（C相/W相） 
96116016         P116016 MCU IGBT驱动电路过流故障（A相/U相） 
96116116         P116116 MCU IGBT驱动电路过流故障（B相/V相） 
96117f98         P117F98 MCU 过温故障 
96117298         P117298 MCU IGBT过温故障（C相/W相） 
96117098         P117098 MCU IGBT过温故障（A相/U相） 
96117198         P117198 MCU IGBT过温故障（B相/V相） 
96118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
96118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
96118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
96118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
9611881c         P11881C MCU温度检测回路故障 
96118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
96118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
96118d28         P118D28 MCU直流母线电流传感器零漂故障 
9611821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
9611801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
9611811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
9611841c         P11841C MCU直流母线电压采样回路故障 
9611a01c         P11A01C MCU电源模块故障 
95f00316         U300316 低压供电电压低 
95f00317         U300317 低压供电电压高 
95c31264         U031264 与BCU软件版本不兼容 
95c31164         U031164 与MCU软件版本不兼容 
95c25887         U025887 与ICM通讯故障 
95c25987         U025987 与ECC通讯故障 
95c25387         U025387 BMS与车载充电机通讯故障 
95c25687         U025687 与RMS通讯故障 
95c25482         U025482 电池系统内部通讯故障 
95c25582         U025582 (高压板)VBU/VCU节点通讯丢失 
95c28082         U028082 MCU生命信号异常 
95c29887         U029887 与DCDC通讯故障 
95c11087         U011087 与电机控制器通讯丢失 
95c11187         U011187 与BMS通讯丢失 
95c12887         U012887 与PCU通讯故障 
95c13187         U013187 与EPS通讯故障 
95c14087         U014087 与BCM通讯故障 
95c07388         U007388 总线关闭 
95402192         C002192 制动助力系统低真空度故障 
95402194         C002194 真空泵常转故障 
9540217a         C00217A 制动助力系统泄漏 
95402100         C002100 制动助力系统故障 
95402101         C002101 真空泵电气系统故障 
95404601         C004601 绝对（大气）压力传感器故障 
95404701         C004701 制动助力系统真空度传感器故障 
950a0a94         P0A0A94 高低压互锁故障 
950a7e22         P0A7E22 电池温度过高 
950a9409         P0A9409 DCDC故障 
950a9513         P0A9513 MSD/主保险断路 
950aa272         P0AA272 正极继电器断路 
950aa073         P0AA073 正极继电器粘连 
950aa61a         P0AA61A 绝缘电阻低 
950aa473         P0AA473 负极继电器粘连 
950aa572         P0AA572 负极继电器断路 
950ae273         P0AE273 预充继电器粘连 
950ae372         P0AE372 预充继电器断路 
95078001         P078001 档位故障 
95060d64         P060D64 加速踏板信号校验错误 
95060d1c         P060D1C 加速踏板信号超幅错误 
95060444         P060444 RAM故障 
95060545         P060545 ROM故障 
95062f46         P062F46 EEPROM(电可擦除只读存储器) 故障 
95063509         P063509 EPS故障 
95121229         P121229 子板单体电压采集电路故障 
95121329         P121329 子板模组电压采集电路故障 
95121144         P121144 子板EEPROM(电可擦除只读存储器)读写故障 
95121674         P121674 子板被动均衡通道故障 
95121782         P121782 子板VBU/BMS节点通讯丢失 
95121429         P121429 子板温度采集电路故障 
95121574         P121574 子板主动均衡通道故障 
95118a64         P118A64 外部总电压检测故障（V2） 
95118822         P118822 电池单体过压 
95118964         P118964 内部总电压检测故障（V1） 
95118312         P118312 电池内部短路 
95118111         P118111 电池外部短路 
95118674         P118674 充电电流异常 
95118722         P118722 温度不均衡 
95118427         P118427 电池温升过快 
95118522         P118522 电池单体电压不均衡 
95119844         P119844 BMS-EEPROM(电可擦除只读存储器)读写故障 
95119022         P119022 总电压过压 
95119796         P119796 加热元件故障 
9511d829         P11D829 总电流检测电路故障 
9511d213         P11D213 预充电阻断路 
9511d329         P11D329 内部总电压检测电路故障(V1) 
9511d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
9511d674         P11D674 预充电继电器驱动通道故障 
9511d729         P11D729 绝缘检测电路故障 
9511d429         P11D429 外部总电压检测电路故障（V2） 
9511d574         P11D574 正端继电器驱动通道故障 
95100a11         P100A11 低速风扇继电器驱动通道对地短路 
95100a12         P100A12 低速风扇继电器驱动通道对电源短路 
95100a13         P100A13 低速风扇继电器驱动通道开路 
95100b11         P100B11 真空泵控制信号驱动通道对地短路 
95100b12         P100B12 真空泵控制信号驱动通道对电源短路 
95100b13         P100B13 真空泵控制信号驱动通道开路 
95100811         P100811 快充负极继电器驱动通道对地短路 
95100812         P100812 快充负极继电器驱动通道对电源短路 
95100813         P100813 快充负极继电器驱动通道开路 
95100911         P100911 PTC控制继电器驱动通道对地短路 
95100912         P100912 PTC控制继电器驱动通道对电源短路 
95100913         P100913 PTC控制继电器驱动通道开路 
95100e11         P100E11 PDU_RUN/PEU_RUN继电器驱动通道对地短路 
95100e12         P100E12 PDU_RUN/PEU_RUN继电器驱动通道对电源短路 
95100e13         P100E13 PDU_RUN/PEU_RUN继电器驱动通道开路 
95100f11         P100F11 空调继电器驱动通道对地短路 
95100f12         P100F12 空调继电器驱动通道对电源短路 
95100f13         P100F13 空调继电器驱动通道开路 
95100c11         P100C11 水泵继电器驱动通道对地短路 
95100c12         P100C12 水泵继电器驱动通道对电源短路 
95100c13         P100C13 水泵继电器驱动通道开路 
95100d11         P100D11 高速风扇继电器驱动通道对地短路 
95100d12         P100D12 高速风扇继电器驱动通道对电源短路 
95100d13         P100D13 高速风扇继电器驱动通道开路 
95100211         P100211 BCU唤醒信号驱动通道对地短路 
95100212         P100212 BCU唤醒信号驱动通道对电源短路 
95100213         P100213 BCU唤醒信号驱动通道开路 
95100311         P100311 仪表充电灯信号驱动通道对地短路 
95100312         P100312 仪表充电灯信号驱动通道对电源短路 
95100313         P100313 仪表充电灯信号驱动通道开路 
95100011         P100011 DC/DC使能驱动通道对地短路 
95100012         P100012 DC/DC使能驱动通道对电源短路 
95100013         P100013 DC/DC使能驱动通道开路 
95100111         P100111 INV唤醒信号驱动通道对地短路 
95100112         P100112 INV唤醒信号驱动通道对电源短路 
95100113         P100113 INV唤醒信号驱动通道开路 
95100611         P100611 总负继电器驱动通道对地短路 
95100612         P100612 总负继电器驱动通道对电源短路 
95100613         P100613 总负继电器驱动通道开路 
95100711         P100711 快充正极继电器驱动通道对地短路 
95100712         P100712 快充正极继电器驱动通道对电源短路 
95100713         P100713 快充正极继电器驱动通道开路 
95100411         P100411 EPS助力转向车速信号驱动通道对地短路 
95100412         P100412 EPS助力转向车速信号驱动通道对电源短路 
95100413         P100413 EPS助力转向车速信号驱动通道开路 
95100511         P100511 倒车灯继电器驱动通道对地短路 
95100512         P100512 倒车灯继电器驱动通道对电源短路 
95100513         P100513 倒车灯继电器驱动通道开路 
95101211         P101211 组合仪表快慢充唤醒信号驱动通道对地短路 
95101212         P101212 组合仪表快慢充唤醒信号驱动通道对电源短路 
95101213         P101213 组合仪表快慢充唤醒信号驱动通道开路 
95101011         P101011 模式选择开关LED灯驱动信号继电器驱动通道对地短路 
95101012         P101012 模式选择开关LED灯驱动信号继电器驱动通道对电源短路 
95101013         P101013 模式选择开关LED灯驱动信号继电器驱动通道开路 
95103a01         P103A01 落锁信号故障 
95103804         P103804 BCU自检异常 
95103904         P103904 MCU自检异常 
95103364         P103364 BCU自检超时 
95103064         P103064 高压系统电压校验错误 
95103164         P103164 驱动电机扭矩响应异常 
95103609         P103609 驱动电机转速异常 
95103464         P103464 INV高压自检超时 
95103564         P103564 高压放电超时/放电回路故障 
94c25987         U025987 与ECC通讯丢失故障 
94c07388         U007388 总线关闭 
94164e1c         P164E1C IGBT_B短路故障 
94164d1c         P164D1C IGBT_A短路故障 
9416421c         P16421C PTC温度传感器短路故障 
94164398         P164398 PTC本体温度过高故障 
9416401d         P16401D PTC电流异常故障 
94164113         P164113 PTC温度传感器断路故障 
94164696         P164696 IGBT_B驱动芯片故障 
94164716         P164716 PTC高压欠压故障 
94164498         P164498 IGBT温度过高故障 
94164596         P164596 IGBT_A驱动芯片故障 
8bf00316         U300316 MCU低压电源欠压故障 
8bf00317         U300317 MCU低压电源过压故障 
8bc40186         U040186 转矩命令超限故障 
8bc10087         U010087 与VCU通讯丢失故障 
8b0a0a94         P0A0A94 电机系统高压暴露故障 
8b0a001c         P0A001C 电机温度检测回路故障 
8b0a2f98         P0A2F98 电机过温故障 
8b0a3f00         P0A3F00 MCU位置信号检测回路故障 
8b0a4400         P0A4400 电机超速故障 
8b0a5101         P0A5101 MCU直流母线电流采样回路故障 
8b060444         P060444 MCU RAM故障 
8b060545         P060545 MCU ROM故障 
8b062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
8b112164         P112164 电机三相电流校验故障 
8b113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
8b113519         P113519 MCU相电流过流故障 
8b114016         P114016 MCU直流母线欠压故障 
8b114017         P114017 MCU直流母线过压故障 
8b116216         P116216 MCU IGBT驱动电路过流故障（C相/W相） 
8b116016         P116016 MCU IGBT驱动电路过流故障（A相/U相） 
8b116116         P116116 MCU IGBT驱动电路过流故障（B相/V相） 
8b117f98         P117F98 MCU 过温故障 
8b117298         P117298 MCU IGBT过温故障（C相/W相） 
8b117098         P117098 MCU IGBT过温故障（A相/U相） 
8b117198         P117198 MCU IGBT过温故障（B相/V相） 
8b118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
8b118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
8b118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
8b118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
8b11881c         P11881C MCU温度检测回路故障 
8b118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
8b118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
8b118d28         P118D28 MCU直流母线电流传感器零漂故障 
8b11821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
8b11801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
8b11811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
8b11841c         P11841C MCU直流母线电压采样回路故障 
8b11a01c         P11A01C MCU电源模块故障 
8af00316         U300316 MCU低压电源欠压故障 
8af00317         U300317 MCU低压电源过压故障 
8ac40186         U040186 转矩命令超限故障 
8ac10087         U010087 与VCU通讯丢失故障 
8a0a0a94         P0A0A94 电机系统高压暴露故障 
8a0a001c         P0A001C 电机温度检测回路故障 
8a0a2f98         P0A2F98 电机过温故障 
8a0a3f00         P0A3F00 MCU位置信号检测回路故障 
8a0a4400         P0A4400 电机超速故障 
8a0a5101         P0A5101 MCU直流母线电流采样回路故障 
8a060444         P060444 MCU RAM故障 
8a060545         P060545 MCU ROM故障 
8a062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
8a112164         P112164 电机三相电流校验故障 
8a113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
8a113519         P113519 MCU相电流过流故障 
8a114016         P114016 MCU直流母线欠压故障 
8a114017         P114017 MCU直流母线过压故障 
8a116216         P116216 MCU IGBT驱动电路过流故障（C相/W相） 
8a116016         P116016 MCU IGBT驱动电路过流故障（A相/U相） 
8a116116         P116116 MCU IGBT驱动电路过流故障（B相/V相） 
8a117f98         P117F98 MCU 过温故障 
8a117298         P117298 MCU IGBT过温故障（C相/W相） 
8a117098         P117098 MCU IGBT过温故障（A相/U相） 
8a117198         P117198 MCU IGBT过温故障（B相/V相） 
8a118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
8a118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
8a118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
8a118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
8a11881c         P11881C MCU温度检测回路故障 
8a118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
8a118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
8a118d28         P118D28 MCU直流母线电流传感器零漂故障 
8a11821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
8a11801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
8a11811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
8a11841c         P11841C MCU直流母线电压采样回路故障 
8a11a01c         P11A01C MCU电源模块故障 
89f00316         U300316 低压供电电压低 
89f00317         U300317 低压供电电压高 
89c31264         U031264 与BCU软件版本不兼容 
89c31164         U031164 与MCU软件版本不兼容 
89c25887         U025887 与ICM通讯故障 
89c25987         U025987 与ECC通讯故障 
89c25387         U025387 BMS与车载充电机通讯故障 
89c25687         U025687 与RMS通讯故障 
89c25482         U025482 电池系统内部通讯故障 
89c25582         U025582 (高压板)VBU/VCU节点通讯丢失 
89c28082         U028082 MCU生命信号异常 
89c29887         U029887 与DCDC通讯故障 
89c11087         U011087 与电机控制器通讯丢失 
89c11187         U011187 与BMS通讯丢失 
89c12887         U012887 与PCU通讯故障 
89c13187         U013187 与EPS通讯故障 
89c14087         U014087 与BCM通讯故障 
89c07388         U007388 总线关闭 
89402192         C002192 制动助力系统低真空度故障 
89402194         C002194 真空泵常转故障 
8940217a         C00217A 制动助力系统泄漏 
89402100         C002100 制动助力系统故障 
89402101         C002101 真空泵电气系统故障 
89404601         C004601 绝对（大气）压力传感器故障 
89404701         C004701 制动助力系统真空度传感器故障 
890a0a94         P0A0A94 高低压互锁故障 
890a7e22         P0A7E22 电池温度过高 
890a9409         P0A9409 DCDC故障 
890a9513         P0A9513 MSD/主保险断路 
890aa272         P0AA272 正极继电器断路 
890aa073         P0AA073 正极继电器粘连 
890aa61a         P0AA61A 绝缘电阻低 
890aa473         P0AA473 负极继电器粘连 
890aa572         P0AA572 负极继电器断路 
